school,fertility
10.993670463562,48.479108148593
16.449970245361303,19.519840025363898
11.8167009353638,41.6850741172309
13.469607353210401,21.3586881130873
13.257181167602502,22.752997655054898
13.2800388336182,23.0772885794238
17.231725692749,7.86866158409385
16.036748886108402,18.045263537005397
14.6830339431763,26.669994399379803
14.8649024963379,25.7232782481913
17.3512229919434,10.9836638183235
8.54313564300537,87.8442260756877
8.62003326416016,100.947704274758
16.989360809326197,14.5577697634746
13.1565685272217,32.8697421737453
11.5853681564331,48.8764780734978
8.89166831970215,75.25359476554141
8.98843383789063,89.12007875033208
8.956658363342289,84.69159717129129
14.1459131240845,22.192875672957
14.6336517333984,64.6432208856241
14.5686092376709,65.2976179153876
14.624439239502001,65.0253227880016
8.76325988769531,92.75608078116379
8.56249046325684,98.97574480193458
11.1683197021484,47.9658934830553
12.5874471664429,38.5811547645146
12.2717027664185,42.193259063754795
12.2482624053955,41.925007680768296
12.284489631652802,41.140720783758
17.2917613983154,22.8066939820823
16.5376815795898,22.8728326175807
11.7440280914307,63.2899116320606
17.071269989013697,14.5866794113885
8.4484691619873,112.529515798092
11.114043235778801,34.9971903807589
11.114043235778801,34.9971903807588
8.7411642074585,103.30800924614
8.740832328796388,103.310773458695
8.7411642074585,103.30800924614
14.2093496322632,30.2268372963381
12.2208795547485,44.883084950883706
8.29856967926025,76.7336
16.0232791900635,21.4896
18.4887104034424,63.8512
20.945499420165998,14.405
16.1999607086182,7.379
15.474550247192399,13.5426
16.1318607330322,18.84
20.920240402221697,8.3764
15.7417097091675,67.3106
15.365460395813,21.1164
15.2859296798706,38.5874
10.5522603988647,28.6552
13.9107999801636,73.6546
10.9668302536011,106.853
16.5600204467773,48.1088
13.9809904098511,7.3478
14.6708402633667,51.6738
10.9563302993774,69.5516
15.5504703521729,57.0388
7.797110080718991,135.464
15.951189994812,9.925
14.697019577026401,5.0858
17.5793304443359,10.1304
19.9647102355957,4.1192
13.659899711608901,98.4344
12.9671297073364,52.4352
13.0371103286743,65.5554
4.811870098114009,55.6712
17.1929798126221,13.6678
20.079269409179698,6.6682
16.6130409240723,9.0482
15.1999597549438,41.1308
16.898260116577102,6.9604
11.0758399963379,67.5004
17.5677890777588,7.6694
7.54567003250122,141.6722
11.614620208740199,65.6586
15.959449768066401,18.2126
12.2214097976685,25.6746
12.8546304702759,50.001000000000005
14.6366300582886,27.0988
19.3224201202393,10.7732
16.4970798492432,10.0612
16.8242893218994,6.0838
15.2468595504761,4.1584
15.326319694519,28.586
15.8001203536987,1.6584
13.3932504653931,39.9964
10.4473695755005,64.541
16.6023902893066,13.978
11.378390312194801,12.6554
11.2172698974609,92.2794
17.0997200012207,11.6044
14.7794904708862,3.4972
12.869870185852099,17.8554
10.4076995849609,117.494
13.5835695266724,13.3984
15.6829395294189,16.8426
15.501890182495101,28.5974
13.466290473938,63.4592
12.057310104370101,23.236
9.06867980957031,142.5334
19.9599609375,23.9378
18.3066291809082,5.9398
7.384399890899661,39.156
16.949089050293,13.664000000000001
16.5156402587891,10.2834
15.4258298873901,42.8788
13.6152896881104,10.8858
15.2643299102783,24.1302
11.100700378417999,27.0462
11.9569597244263,85.16799999999999
15.278820037841802,9.232999999999999
14.817669868469201,19.3334
14.899140357971199,57.9378
15.5158596038818,20.4052
18.0713901519775,3.9208
14.086620330810499,46.5808
18.03125,8.522
19.5659294128418,5.617999999999999
16.0006198883057,3.0578
16.6121807098389,44.6358
16.354700088501,28.416
10.552069664001499,16.6988
15.5295696258545,24.885
18.4142093658447,15.3342
17.3453102111816,24.1102
11.920430183410598,17.8178
13.658240318298303,59.1422
